Fecha/Hora,Ventana,Min transcurrido,Apertura,Minimo,Caida %,Prob,Ask UP,Volumen,Liquidez,EV,Accion,Resultado
=== SESION: 2026-06-04 20:27:58 ===
2026-06-04 20:57:31,2026-06-04 20:55:00,2,"63,505.07","63,489.28",0.02%,58.2%,0.410,27,"9,504",+17.2%,COMPRAR UP,
,,,,,,,,,,,,WIN
2026-06-04 21:01:36,2026-06-04 21:00:00,1,"63,561.03","63,561.03",0.00%,53.2%,0.440,34,"8,528",+9.2%,COMPRAR UP,
,,,,,,,,,,,,WIN
2026-06-04 21:11:19,2026-06-04 21:10:00,1,"63,779.36","63,749.36",0.05%,53.2%,0.370,18,"9,239",+16.2%,COMPRAR UP,
,,,,,,,,,,,,WIN
2026-06-04 21:28:08,2026-06-04 21:25:00,3,"63,484.09","63,484.09",0.00%,63.5%,0.440,12,"8,459",+19.5%,COMPRAR UP,
,,,,,,,,,,,,LOSS
2026-06-04 22:32:07,2026-06-04 22:30:00,2,"63,264.13","63,235.27",0.05%,58.2%,0.367,2,"9,418",+21.5%,COMPRAR UP,
,,,,,,,,,,,,LOSS
2026-06-04 22:43:58,2026-06-04 22:40:00,3,"63,391.41","63,375.70",0.02%,63.5%,0.560,2,"10,706",+7.5%,COMPRAR UP,
2026-06-04 22:47:05,2026-06-04 22:45:00,2,"63,424.27","63,424.27",0.00%,58.2%,0.520,2,"9,191",+6.2%,COMPRAR UP,
,,,,,,,,,,,,WIN
2026-06-04 22:52:49,2026-06-04 22:50:00,2,"63,550.01","63,529.66",0.03%,58.2%,0.530,2,"9,341",+5.2%,COMPRAR UP,
,,,,,,,,,,,,WIN
